Scenario A2		A2																						
Befolkning	2000	2010	2020	2030	2040	2050	2060	2070	2080	2090	2100													
Bef-OECD	916	975	1027	1072	1131	1151	1202	1228	1323	1451	1496													
Bef-REF	415	438	454	473	507	519	551	568	622	684	706													
Bef-ASIA	3248	3801	4308	4779	5500	5764	6137	6333	6858	7214	7340													
Bef-ALM	1511	1974	2417	2846	3578	3862	4250	4458	5025	5394	5526													
Total	6090	7188	8206	9170	10715	11296	12139	12587	13828	14743	15068													
																								
Velstand	2000	2010	2020	2030	2040	2050	2060	2070	2080	2090	2100													
BNP-OECD	 kr 207 	217	228	252	296	312	347	366	429	500	527													
BNP-REF	 kr 22 	25	28	39	57	64	80	90	123	165	182													
BNP-ASIA	 kr 10 	10	11	14	21	23	29	33	46	63	70													
BNP-ALM	 kr 16 	23	29	36	49	54	65	71	95	125	137													
Average	42	43	44	50	61	65	76	82	104	133	145													
																								
Energikilder	100%	98%	97%	95%	93%	91%	90%	90%	90%	91%	91%													
Teknologi	100%	90%	81%	75%	69%	63%	59%	54%	49%	44%	39%													
																								
Utslipp	2000	2010	2020	2030	2040	2050	2060	2070	2080	2090	2100													
Em-OECD	3.20	3.51	3.96	4.42	4.58	4.74	4.93	5.11	5.55	6.23	6.91													
Em-REF	0.91	1.03	1.22	1.40	1.46	1.52	1.63	1.75	1.93	2.17	2.41													
Em-ASIA	2.03	2.81	3.92	4.99	5.73	6.48	7.23	7.98	8.83	9.78	10.74													
EmALM	1.83	2.23	3.16	3.92	4.30	4.68	5.36	6.04	6.91	7.97	9.03													
Total	7.97	9.58	12.25	14.72	16.07	17.43	19.16	20.89	23.22	26.15	29.09													
Enkel relasjon	7.98	8.50	8.90	10.28	13.05	13.26	15.04	15.56	19.77	24.78	24.36													
																								
																								
 a 	32000																							
																								
																								
																								
																								
																																											
																																											
																																											
																																											
																																											
																																											
																																											
