Scenario A1		A1																						
Befolkning	2000	2010	2020	2030	2040	2050	2060	2070	2080	2090	2100													
Bef-OECD	916	960	1002	1043	1062	1081	1086	1091	1097	1103	1110													
Bef-REF	415	424	430	435	429	423	406	391	374	356	339													
Bef-ASIA	3248	3556	3851	4147	4183	4220	4016	3822	3541	3194	2882													
Bef-ALM	1511	1865	2211	2557	2761	2980	3024	3067	3013	2866	2727													
Total	6090	6805	7493	8182	8434	8704	8532	8371	8025	7520	7056													
																								
Velstand	2000	2010	2020	2030	2040	2050	2060	2070	2080	2090	2100													
BNP-OECD	 kr 207 	237	279	328	385	451	531	626	732	848	983													
BNP-REF	 kr 22 	33	60	110	170	264	345	451	577	724	908													
BNP-ASIA	 kr 10 	15	29	57	87	134	191	274	375	493	647													
BNP-ALM	 kr 16 	26	42	69	104	157	207	271	348	437	548													
Average	42	50	68	98	134	187	247	327	423	535	674													
																								
Energikilder	100%	96%	93%	90%	85%	77%	70%	64%	57%	50%	43%													
Teknologi	100%	82%	63%	54%	46%	37%	33%	30%	27%	24%	21%													
																								
Utslipp	2000	2010	2020	2030	2040	2050	2060	2070	2080	2090	2100													
Em-OECD	3.20	3.41	3.51	3.48	3.42	3.36	3.06	2.78	2.56	2.40	2.24													
Em-REF	0.91	1.05	1.11	1.13	1.16	1.18	1.08	0.99	0.91	0.84	0.78													
Em-ASIA	2.03	3.25	4.16	5.32	5.64	5.98	6.02	6.10	5.99	5.71	5.46													
EmALM	1.83	2.93	3.80	4.52	5.20	5.99	5.94	5.90	5.68	5.32	4.97													
Total	7.97	10.64	12.58	14.45	15.41	16.52	16.11	15.76	15.15	14.26	13.45													
Enkel relasjon	7.98	8.36	9.36	12.28	13.76	14.49	15.55	16.62	16.51	14.89	13.36													
																								
																								
 a 	32000																							
																								
																								
																								
																								
																																											
																																											
																																											
																																											
																																											
																																											
																																											
