Scenario B2		B2																						
Befolkning	2000	2010	2020	2030	2040	2050	2060	2070	2080	2090	2100													
Bef-OECD	916	953	982	994	988	976	965	951	941	934	928													
Bef-REF	415	417	418	416	411	406	396	389	384	381	379													
Bef-ASIA	3248	3649	4008	4312	4538	4696	4790	4856	4902	4938	4968													
Bef-ALM	1511	1872	2263	2649	2992	3289	3554	3764	3931	4053	4139													
Total	6090	6891	7671	8371	8929	9367	9705	9960	10158	10306	10414													
																								
Velstand	2000	2010	2020	2030	2040	2050	2060	2070	2080	2090	2100													
BNP-OECD	 kr 207 	250	278	300	326	353	381	420	458	501	549													
BNP-REF	 kr 22 	26	39	61	99	146	195	243	279	312	344													
BNP-ASIA	 kr 10 	18	30	44	61	80	99	119	138	156	176													
BNP-ALM	 kr 16 	18	22	30	44	62	83	102	118	132	145													
Average	42	50	60	71	86	105	125	146	165	184	203													
																								
Energikilder	100%	98%	94%	90%	85%	81%	78%	76%	76%	77%	77%													
Teknologi	100%	78%	57%	51%	46%	40%	37%	35%	32%	29%	27%													
																								
Utslipp	2000	2010	2020	2030	2040	2050	2060	2070	2080	2090	2100													
Em-OECD	3.20	3.50	3.71	3.70	3.51	3.26	3.25	3.08	3.10	3.14	3.10													
Em-REF	0.91	0.80	0.81	0.94	1.11	1.24	1.18	1.22	1.24	1.21	1.18													
Em-ASIA	2.03	2.62	2.87	3.46	3.98	4.10	4.22	4.26	4.53	5.01	5.63													
EmALM	1.83	1.90	1.90	2.01	2.25	2.49	2.94	3.17	3.43	3.63	3.64													
Total	7.97	8.82	9.29	10.11	10.84	11.10	11.60	11.73	12.30	12.98	13.56													
Enkel relasjon	7.98	8.32	7.61	8.53	9.36	9.98	11.09	12.05	12.82	13.32	13.66													
																								
																								
 a 	32000																							
																								
																								
																								
																								
																																											
																																											
																																											
																																											
																																											
																																											
																																											
