Scenario B1		B1																						
Befolkning	2000	2010	2020	2030	2040	2050	2060	2070	2080	2090	2100													
Bef-OECD	916	916	932	965	990	1001	1005	1009	1020	1029	1032													
Bef-REF	415	437	443	445	443	432	419	401	384	365	347													
Bef-ASIA	3248	3609	3929	4142	4235	4220	4088	3871	3594	3262	2886													
Bef-ALM	1511	1954	2315	2643	2879	3055	3159	3202	3145	3006	2783													
Total	6090	6916	7619	8195	8547	8708	8671	8483	8143	7662	7048													
																								
Velstand	2000	2010	2020	2030	2040	2050	2060	2070	2080	2090	2100													
BNP-OECD	 kr 207 	262	313	357	399	448	496	534	585	646	718													
BNP-REF	 kr 22 	28	35	56	87	129	175	231	300	379	470													
BNP-ASIA	 kr 10 	12	20	33	53	81	113	151	197	253	322													
BNP-ALM	 kr 16 	26	38	58	86	123	162	207	263	327	404													
Average	42	50	62	80	106	140	178	221	276	341	419													
																								
Energikilder	100%	97%	93%	88%	82%	74%	67%	63%	61%	62%	66%													
Teknologi	100%	79%	58%	49%	39%	30%	26%	22%	18%	14%	10%													
																								
Utslipp	2000	2010	2020	2030	2040	2050	2060	2070	2080	2090	2100													
Em-OECD	3.20	3.40	3.26	2.78	2.33	1.90	1.52	1.34	1.16	1.07	0.99													
Em-REF	0.91	0.81	0.91	0.91	0.91	0.91	0.81	0.61	0.51	0.41	0.41													
Em-ASIA	2.03	2.82	3.40	3.98	4.27	3.85	3.24	2.62	2.09	1.49	0.93													
EmALM	1.83	2.26	3.16	3.75	4.56	4.98	4.56	4.01	3.30	2.69	2.19													
Total	7.97	9.29	10.72	11.42	12.06	11.65	10.12	8.58	7.06	5.67	4.52													
Enkel relasjon	7.98	8.32	7.98	8.85	9.10	8.44	8.40	8.13	7.77	7.10	6.08													
																								
																								
 a 	32000																							
																								
																								
																								
																								
																																											
																																											
																																											
																																											
																																											
																																											
																																											
